Id;series;booktitle;year;title;abstract;authors;pdf1page;pdfarticle;MS;place;Latitude;Longitude
1104;Revue des Nouvelles Technologies de l'Information;EGC;2016;A Relevant Passage Retrieval and Re-ranking Approach for Open-Domain Question Answering;Les systèmes de questions-réponses (SQR)s visent à retourner directement des réponsesprécises à des questions posées en langage naturel. L'extraction et le reclassement des passagessont considérés comme les tâches les plus difficiles dans un SQR typique et exigent encore uneffort non trivial. Dans cet article, nous proposons une nouvelle approche pour L'extraction etle reclassement des passages en utilisant les n-grammes et SVM. Notre système d'extractionde passages basé sur la technique des n-grammes repose sur une nouvelle mesure de similaritéentre un passage et une question. Les passages extraits sont ensuite réordonnés en utilisant unmodèle basé sur RankSVM combinant différentes mesures de similarité afin de retourner lepassage le plus pertinent pour une question donnée. Nos expériences et nos résultats étaientprometteurs et ont démontré que notre approche est concurrentielle.;Nouha Othman, Rim Faiz;http://editions-rnti.fr/render_pdf.php?p1&p=1002161;http://editions-rnti.fr/render_pdf.php?p=1002161;2;Reims;49.258329;4.031696
1105;Revue des Nouvelles Technologies de l'Information;EGC;2016;Adaptation des Mappings entre Systèmes d'Organisation de la Connaissance du domaine Biomédical;"Cette thèse de doctorat propose une approche originale pour adapter les mappingsbasés sur les changements détectés dans l'évolution de SOCs du domaine biomédical.Notre proposition consiste à comprendre précisément les mappings entre SOCs, à exploiterles types de changements intervenant lorsque les SOCs évoluent, puis à proposerdes actions de modification des mappings appropriées. Nos contributions sont multiples: (i) nous avons réalisé un travail expérimental approfondi pour comprendre l'évolutiondes mappings entre SOCs; nous proposons des méthodes automatiques (ii) pour analyserles mappings affectés par l'évolution de SOCs, et (iii) pour reconnaître l'évolutiondes concepts impliqués dans les mappings via des patrons de changement; enfin (iv)nous proposons des techniques d'adaptation des mappings à base d'heuristiques. Nousproposons un cadre complet pour l'adaptation des mappings, appelé DyKOSMap, etun prototype logiciel. Nous avons évalué les méthodes proposées et le cadre formel avecdes jeux de données réelles contenant plusieurs versions de mappings entre SOCs du domaine biomédical. Les résultats des expérimentations ont démontré l'efficacité desprincipes sous-jacents à l'approche proposée. La maintenance des mappings, en grandepartie automatique, est de bonne qualité..";Julio Cesar Dos Reis;http://editions-rnti.fr/render_pdf.php?p1&p=1002152;http://editions-rnti.fr/render_pdf.php?p=1002152;13;Reims;49.258330;4.031697
1106;Revue des Nouvelles Technologies de l'Information;EGC;2016;Analyse d'activité et exposition de la vie privée sur les médias sociaux;Anonymous use of Social network do not prevent users from privacy risks resulting frominfering and cross-checking information published by themselves or their relationhips. Withthis in mind we have conducted a survey in order to measure sensitiveness of personal datapublished on social media and to analyze the users behaviors. We have shown that 76 %of internet users that have answered the survey are vulnerable to identity or sensitive datadisclosure. Our study is completed by the description of an automatic procedure that showshow easily these vulnerabilities can be exploited and motivates the need for more advancedprotection mechanisms.;Younes Abid, Abdessamad Imine, Amedeo Napoli, Chedy Raïssi, Marc Rigolot, Michaël Rusinowitch;http://editions-rnti.fr/render_pdf.php?p1&p=1002223;http://editions-rnti.fr/render_pdf.php?p=1002223;11;Reims;49.258331;4.031698
1107;Revue des Nouvelles Technologies de l'Information;EGC;2016;Analyse exploratoire par k-Coclustering avec Khiops CoViz;"En analyse exploratoire, l'identification et la visualisation des interactionsentre variables dans les grandes bases de données est un défi (Dhillon et al.,2003; Kolda et Sun, 2008). Nous présentons Khiops CoViz, un outil qui permetd'explorer par visualisation les relations importantes entre deux (ou plusieurs)variables, qu'elles soient catégorielles et/ou numériques. La visualisation d'unrésultat de coclustering de variables prend la forme d'une grille (ou matrice) dontles dimensions sont partitionnées: les variables catégorielles sont partitionnéesen clusters et les variables numériques en intervalles. L'outil permet plusieurs variantesde visualisations à différentes échelles de la grille au moyen de plusieurscritères d'intérêt révélant diverses facettes des relations entre les variables.";Bruno Guerraz, Marc Boullé, Dominique Gay, Vincent Lemaire, Fabrice Clérot;http://editions-rnti.fr/render_pdf.php?p1&p=1002206;http://editions-rnti.fr/render_pdf.php?p=1002206;11;Reims;49.258332;4.031699
1108;Revue des Nouvelles Technologies de l'Information;EGC;2016;Analyse géographique de séries de publications : application aux conférences EGC;"Dans cet article, nous présentons une méthodologie originale permettantde faire des analyses scientométriques basées sur trois dimensions (spatiale,temporelle et thématique) à partir d'un corpus de publications. Cette méthodologiecomporte 3 étapes : (1) la préparation et la validation des données pourcompléter les critères usuels tels que les noms d'auteurs, affiliation, ... par descritères spatiaux, temporels et thématiques ; (2) l'indexation des contenus despublications et métadonnées associées ; (3) l'analyse et/ou la recherche d'informationmultidimentionnelle. Les expérimentations sont menées sur la série depublications des conférences EGC de 2004 à 2015.";Eric Kergosien, Marie-Noëlle Bessagnet, Christian Sallaberry, Annig Le Parc - Lacayrelle, Albert Royer;http://editions-rnti.fr/render_pdf.php?p1&p=1002190;http://editions-rnti.fr/render_pdf.php?p=1002190;9;Reims;49.258333;4.031700
1109;Revue des Nouvelles Technologies de l'Information;EGC;2016;Analyses synchroniques et diachroniques des thématiques EGC- Défi ECG 2016;Les articles scientifiques publiés dans les actes des conférences EGC,qui se déroulent chaque année depuis 2001, constituent la richesse de ces évènementsmettant en avant le fer de lance de la recherche francophone portantsur la gestion et l'extraction de connaissances. Nous nous sommes penchés surl'analyse de ces publications scientifiques afin d'en extraire l'essence en termesde thématiques de recherches abordées. Premièrement, nous avons analysé lespoints communs et les spécificités des publications dans les différentes éditionsde la conférence ainsi que les principales différences entre les éditions consécutives.Puis nous nous sommes intéressés à la façon dont les publications s'articulentautour des thématiques extraites et sur lesquelles nous avons essayé devisualiser une approximation sémantique. Enfin nous nous sommes intéresséà l'évolution des thématiques depuis les débuts de cette conférence et jusqu'àl'édition 2015.;Sofiane Bouzid, Adrian Tanasescu;http://editions-rnti.fr/render_pdf.php?p1&p=1002195;http://editions-rnti.fr/render_pdf.php?p=1002195;9;Reims;49.258334;4.031701
1110;Revue des Nouvelles Technologies de l'Information;EGC;2016;Apprentissage du signal prix de l'électricité. Arbres de régression, séries temporelles et prédictions à long terme;"Predicting the price of the electricity commodity in the long term is a challenge that currenttechniques do not meet satisfactorily (Karakatsani et Bunn, 2010; Weron, 2014). In this paper,we introduce a new regression tree based model that yields good predictions on a long-termperiod with low computational resources requirements. Our approach is validated by temporalseries collected from an electricity provider.";Louis-Victor Pasquier, Antoine Cornuéjols, Suzanne Pinson;http://editions-rnti.fr/render_pdf.php?p1&p=1002222;http://editions-rnti.fr/render_pdf.php?p=1002222;11;Reims;49.258335;4.031702
1111;Revue des Nouvelles Technologies de l'Information;EGC;2016;Approche de Clustering de Flux basée sur les Graphes de Voisinage;We propose a neighborhood-based approach for data streams clustering. Instead of processingeach new element one by one, we propose to process each group of new elements simultaneously.A neighborhood-based clustering is applied on each new group. We also definean incremental construction method of the neighborhood graph based on the stream evolution.To validate the approach, we apply it to multiple data sets and we compare it with variousstream clustering approaches.;Ibrahim Louhi, Lydia Boudjeloud-Assala, Thomas Tamisier;http://editions-rnti.fr/render_pdf.php?p1&p=1002217;http://editions-rnti.fr/render_pdf.php?p=1002217;11;Reims;49.258336;4.031703
1112;Revue des Nouvelles Technologies de l'Information;EGC;2016;Arbres de modèles et flux de données incomplets;Model tree is a useful and convenient method for predictive analytics in data streams.Often, this issue is solved by pre-processing techniques applied prior to the training phase ofthe model. In this article, we propose a new method that estimates and adjusts missing valuesbefore the model tree training. A prototype was developed and tested on several data streams.;Olivier Parisot, Yoanne Didry, Thomas Tamisier, Benoît Otjacques;http://editions-rnti.fr/render_pdf.php?p1&p=1002210;http://editions-rnti.fr/render_pdf.php?p=1002210;11;Reims;49.258337;4.031704
1113;Revue des Nouvelles Technologies de l'Information;EGC;2016;Associer argumentation et simulation en aide à la décision : Illustration en agroalimentaire;Prendre une décision impliquant plusieurs acteurs aux objectifs divergentsnécessite de considérer des informations tant qualitatives – les préférencesdes acteurs sur les décisions possibles – que quantitatives – les paramètres servantd'indicateurs pour les acteurs. Dans cet article nous nous intéressons à l'associationde ces deux types d'approches. Le modèle qualitatif considéré est l'argumentation.Le modèle quantitatif simulant les scénarios découlant de chaquedécision est la dynamique des systèmes. Cet article s'intéresse aux éléments permettantde connecter les deux formalismes. Un exemple en agroalimentaire vienten appui à cette réflexion.;Rallou Thomopoulos, Sébastien Gaucel, Bernard Moulin;http://editions-rnti.fr/render_pdf.php?p1&p=1002187;http://editions-rnti.fr/render_pdf.php?p=1002187;4;Reims;49.258338;4.031705
