id;series;booktitle;year;title;abstract;authors;pdf1page;pdfarticle;MS;place;Latitude;Longitude
1188;Revue des Nouvelles Technologies de l'Information;EGC;2017;A Hybrid Approach for Detecting Influencers in Social Media;La détection d'influenceurs dans les réseaux sociaux s'appuie généra-lement sur une structure de graphe représentant les utilisateurs et leurs interac-tions. Récemment, cette tâche a tenu compte, en sus de la structure du graphe,du contenu textuel généré par les utilisateurs. Notre approche s'inscrit dans cettelignée : des informations sont extraites du contenu textuel par des règles linguis-tiques puis sont intégrées dans un système d'apprentissage automatique. Nousmontrerons le prototype développé et son interface de visualisation qui facilitel'interprétation des résultats.;Ioannis Partalas, Cédric Lopez, Pierre-Alain Avouac, Matthieu Osmuk, Domoina Rabarijaona, Dana Popovici, Frédérique Segond;http://editions-rnti.fr/render_pdf.php?p1&p=1002325;http://editions-rnti.fr/render_pdf.php?p=1002325;11;Grenoble;45.188529;5.724524
1189;Revue des Nouvelles Technologies de l'Information;EGC;2017;Analyse des dynamiques spatio-temporelles à partir de séries temporelles d'images satellitaires;La télédétection est un domaine qui regroupe les techniques et lesoutils permettant l'observation de la terre, notamment l'acquisition d'images sa-tellitaires. La méthode proposée dans cet article permet une analyse automatiquede séries temporelles de telles images. Nos travaux introduisent un nouvelle ap-proche pour l'analyse et le clustering de Séries Temporelles d'Images Satelli-taire (STIS). Ce processus se divise en deux parties. Dans un premier temps,nous retraçons les changements radiométriques d'une zone en représentant sonévolution au cours du temps par un graphe dit graphe d'évolution. Dans undeuxième temps, nous introduisons une représentation synthétique des graphesd'évolutions afin de pouvoir appliquer un algorithme de clustering permettantun regroupement par types d'évolutions identifiées. Les expérimentations me-nées nous ont permis de valider notre approche sur une zone d'étude.;Lynda Khiali, Dino Ienco, Maguelonne Teisseire;http://editions-rnti.fr/render_pdf.php?p1&p=1002286;http://editions-rnti.fr/render_pdf.php?p=1002286;13;Grenoble;45.188530;5.724525
1190;Revue des Nouvelles Technologies de l'Information;EGC;2017;Analyse exploratoire de corpus textuels pour le journalisme d'investigation;Nous proposons un outil de visualisation analytique conçu pour etavec une journaliste d'investigation pour l'exploration de corpus textuels. Notreoutil combine une technique de biclustering disjoint pour extraire des sujets dehaut niveau, avec une méthode de biclustering non-disjoint pour révéler plus fi-nement les variantes de sujets. Une vue d'ensemble des sujets de haut niveau estproposée sous forme d'une treemap, puis une visualisation hiérarchique radialecoordonnée avec une heatmap permet d'inspecter et de comparer les variantesde sujet et d'accéder aux contenus d'origine à la demande.;Nicolas Médoc, Mohammad Ghoniem, Mohamed Nadif;http://editions-rnti.fr/render_pdf.php?p1&p=1002328;http://editions-rnti.fr/render_pdf.php?p=1002328;11;Grenoble;45.188531;5.724526
1191;Revue des Nouvelles Technologies de l'Information;EGC;2017;Anonymiser des données multidimensionnelles à l'aide du coclustering;Dans cet article, nous proposons une méthodologie pour anonymiserune table de données multidimensionnelles contenant des données individuelles(soit n individus décrits par m variables). L'objectif est de publier une table ano-nyme construite à partir d'une table initiale qui protège contre le risque de ré-identification. En d'autres termes, on ne doit pas pouvoir retrouver dans les don-nées publiées un individu présent dans la table originale. La solution proposéeconsite à agréger les données à l'aide d'une technique de coclustering, puis à uti-liser le modèle produit pour générer une table de données synthétiques du mêmeformat que les données initiales. Les données synthétiques, qui contiennent desindividus fictifs, peuvent maintenant être publiées. Les données produites sontévaluées en termes d'utilité pour différentes tâches de fouille (analyse explora-toire, classification) et de niveau de protection.;Françoise Fessant, Tarek Benkhelif, Fabrice Clérot;http://editions-rnti.fr/render_pdf.php?p1&p=1002277;http://editions-rnti.fr/render_pdf.php?p=1002277;8;Grenoble;45.188532;5.724527
1192;Revue des Nouvelles Technologies de l'Information;EGC;2017;Application du coclustering à l'analyse exploratoire d'une table de données;La classification croisée est une technique d'analyse non superviséequi permet d'extraire la structure sous-jacente existante entre les individus et lesvariables d'une table de données sous forme de blocs homogènes. Cette tech-nique se limitant aux variables de même nature, soit numériques soit catégo-rielles, nous proposons de l'étendre en proposant une méthodologie en deuxétapes. Lors de la première étape, toutes les variables sont binarisées selon unnombre de parties choisi par l'analyste, par discrétisation en fréquences égalesdans le cas numérique ou en gardant les valeurs les plus fréquentes dans le cascatégoriel. La deuxième étape consiste à utiliser une méthode de coclusteringentre individus et variables binaires, conduisant à des regroupements d'indivi-dus d'une part, et de parties de variables d'autre part. Nous appliquons cetteméthodologie sur plusieurs jeux de donnée en la comparant aux résultats d'uneanalyse par correspondances multiples ACM, appliquée aux même données bi-narisées.;Aichetou Bouchareb, Marc Boullé, Fabrice Clérot, Fabrice Rossi;http://editions-rnti.fr/render_pdf.php?p1&p=1002279;http://editions-rnti.fr/render_pdf.php?p=1002279;6;Grenoble;45.188533;5.724528
1193;Revue des Nouvelles Technologies de l'Information;EGC;2017;Application mobile pour l'évaluation d'un algorithme de calcul de distance entre des items musicaux;Les systèmes de recommandation permettent de présenter à un utilisa-teur des éléments susceptibles de l'intéresser. La mise en place de tels systèmesdans les domaines culturels soulève souvent le questionnement de la place de ladiversité, de la nouveauté, et surtout de la découverte. Nous pensons que l'êtrehumain, bien qu'ayant ordinairement une tendance à se placer dans une zonede confort correspondant à ce qu'il connaît, apprécie occasionnellement d'êtrepoussé à des explorations le faisant sortir de sa routine. Nous avons développédans cette optique une méthode, basée sur la dissimilarité, qui élargit les centresd'intérêt des utilisateurs. Nous avons réussi à délimiter une zone intermédiaireentre des items « trop similaires » et des items « trop différents ». Afin de vali-der cette hypothèse, nous avons développé une application qui permet de testeret de valider cette méthode. Dans cet article de démonstration, nous expliquonsle concept de « zone intermédiaire », nous détaillons le fonctionnement de l'ap-plication, puis nous présentons les résultats obtenus à partir des tests effectués.;Pierre-René Lhérisson, Fabrice Muhlenbach, Pierre Maret;http://editions-rnti.fr/render_pdf.php?p1&p=1002324;http://editions-rnti.fr/render_pdf.php?p=1002324;11;Grenoble;45.188534;5.724529
1194;Revue des Nouvelles Technologies de l'Information;EGC;2017;Apprentissage d'espaces prétopologiques dans un cadre multi-instance pour la structuration de données;Nous présentons dans cet article une méthode supervisée de structu-ration (en DAG) d'un ensemble d'éléments. Étant donnés une structure cible etun ensemble de relations sur ces éléments, il s'agit d'apprendre un modèle destructuration par combinaison des relations initiales. Nous formalisons ce pro-blème dans le cadre de la théorie de la prétopologie qui permet d'atteindre desmodèles de structuration complexes.Nous montrons que la non-idempotence de la fonction d'adhérence rentre dansle cadre du formalisme de l'apprentissage (supervisé) multi-instance et nous pro-posons un algorithme d'apprentissage reposant sur le dénombrement des «sacs»positifs et négatifs plutôt que sur un ensemble d'apprentissage standard.Une première expérimentation de cette méthode est présentée dans un cadreapplicatif de fouille de textes, consistant à apprendre un modèle de structurationtaxonomique d'un ensemble de termes.;Gaëtan Caillaut, Guillaume Cleuziou;http://editions-rnti.fr/render_pdf.php?p1&p=1002300;http://editions-rnti.fr/render_pdf.php?p=1002300;2;Grenoble;45.188535;5.724530
1195;Revue des Nouvelles Technologies de l'Information;EGC;2017;Apprentissage de structures séquentielles pour l'extraction d'entités et de relations dans des textes d'appels d'offres;Dans cet article nous présentons une étude exploitant des méthodesd'apprentissage automatique de structures séquentielles pour extraire des rela-tions sémantiques dans des textes issus de bases d'appels d'offres. L'une desrelations que nous considérons concerne l'emprise d'un projet d'aménagement,caractérisée par une association entre les concepts qui définissent les infrastruc-tures (bâtiments) et les concepts qui définissent leur(s) surface(s) d'implantation.L'étude propose une analyse comparée d'approches à base de champs condi-tionnels aléatoires (CRF), de CRF d'ordre supérieur (H-CRF), de CRF semi-Markoviens, Modèles de Markov cachés (HMM) et de perceptrons structurés.;Oussama Ahmia, Nicolas Béchet, Pierre-François Marteau;http://editions-rnti.fr/render_pdf.php?p1&p=1002297;http://editions-rnti.fr/render_pdf.php?p=1002297;8;Grenoble;45.188536;5.724531
1196;Revue des Nouvelles Technologies de l'Information;EGC;2017;Approche préventive pour une gestion élastique du traitement parallèle et distribué de flux de données;Dans un contexte de traitement de flux de données, il est importantde garantir à l'utilisateur des propriétés de performance, qualité des résultats etpassage à l'échelle. Mettre en adéquation ressources et besoins, pour n'allouerque les ressources nécessaires au traitement efficace des flux, est un défi d'actualitémajeur au croisement des problématiques du Big Data et du Green IT.L'approche que nous suggérons permet d'adapter dynamiquement et automatiquementle degré de parallélisme des différents opérateurs composant une requêtecontinue selon l'évolution du débit des flux traités. Nous proposons i) unemétrique permettant d'estimer l'activité future des opérateurs selon l'évolutiondes flux en entrée, ii) l'approche AUTOSCALE évaluant a priori l'intérêt d'unemodification du degré de parallélisme des opérateurs en prenant en compte l'impactsur le traitement des données dans sa globalité iii) grâce à une intégrationde notre proposition à Apache Storm, nous exposons des tests de performancecomparant notre approche par rapport à la solution native de cet outil.;Roland Kotto-Kombi, Nicolas Lumineau, Phillipe Lamarre;http://editions-rnti.fr/render_pdf.php?p1&p=1002269;http://editions-rnti.fr/render_pdf.php?p=1002269;1;Grenoble;45.188537;5.724532
1197;Revue des Nouvelles Technologies de l'Information;EGC;2017;Cadre d'Evaluation pour la Méta Analyse de Données;;William Raynaut, Chantal Soulé-Dupuy, Nathalie Vallès-Parlangeau;http://editions-rnti.fr/render_pdf.php?p1&p=1002314;http://editions-rnti.fr/render_pdf.php?p=1002314;11;Grenoble;45.188538;5.724533
