Id_article;series;booktitle;year;title;abstract;authors;pdf1page;pdfarticle;MS;place;Latitude;Longitude
1260;Revue des Nouvelles Technologies de l'Information;EGC;2018;#Idéo2017 : une plateforme citoyenne dédiée à l'analyse des tweets lors des événements politiques;Cette plateforme a pour objectif de permettre aux citoyens d'analyserpar eux-mêmes les tweets politiques lors d'événements spécifiques en France.Pour le cas de l'élection présidentielle de 2017, #Idéo2017 analysait en quasitemps réel les messages des candidats, et fournissait leurs principales caractéristiques,l'usage du lexique politique et des comparaisons entre les candidats.;Claudia Marinica, Julien Longhi, Nader Hassine, Abdulhafiz Alkhouli, Boris Borzic;http://editions-rnti.fr/render_pdf.php?p1&p=1002425;http://editions-rnti.fr/render_pdf.php?p=1002425;11;Paris;48.8534;2.3488
1261;Revue des Nouvelles Technologies de l'Information;EGC;2018;A two level co-clustering algorithm for very large data sets;La classification croisée (co-clustering) est une technique qui permet d'extraire la structuresous-jacente existante entre les lignes et les colonnes d'une table de données sous forme de blocs. Plusieurs applications utilisent cette technique, cependant de nombreux algorithmes de co-clustering actuels ne passent pas à l'échelle. Une des approches utilisées avec succès est la méthode MODL, qui optimise un critère de vraisemblance régularisée. Cependent, pour des tailles plus importante, cette méthode atteint sa limite. Dans cet article, nous présentons un nouvel algorithme de co-clustering à deux niveaux, qui compte tenu du critère MODL permet de traiter efficacement de données de très grande taille, ne pouvant pas tenir en mémoire. Nos expériences montrent que l'approche proposée gagne en temps de calcul tout en produisant des solutions de qualité.;Marius Barctus, Marc Boullé, Fabrice Clérot;http://editions-rnti.fr/render_pdf.php?p1&p=1002372;http://editions-rnti.fr/render_pdf.php?p=1002372;8;Paris;48.8535;2.3489
1262;Revue des Nouvelles Technologies de l'Information;EGC;2018;ALGeoSPF: Un modèle de factorisation basé sur du clustering géographique pour la recommandation de POI;La recommandation de points d'intérêts est devenue une caractéristiqueessentielle des réseaux sociaux géo-localisés qui a accompagnél'émergence des échanges massifs de données digitales. Cependantles faibles densités de points d'intérêts visités par les utilisateurs rendentle problème difficile à traiter, d'autant plus que les espaces de mobilitédes utilisateurs sont très hétérogènes, allant de la ville au monde entier.Dans ce papier nous explorons l'impact d'une approche de clusteringspatial sur la qualité de la recommandation. Notre approche est baséesur un modèle de factorisation de matrices de Poisson et un réseau socialinféré des différents comportements de mobilité. Nous avons conduitune évaluation comparative des performances de notre approche sur unjeu de données réaliste. Les résultats expérimentaux montrent que notreapproche permet une précision supérieure aux techniques de recommandationalternatives.;Jean-Benoît Griesner, Talel Abdesssalem, Hubert Naacke, Pierre Dosne;http://editions-rnti.fr/render_pdf.php?p1&p=1002380;http://editions-rnti.fr/render_pdf.php?p=1002380;3;Paris;48.8536;2.3490
1263;Revue des Nouvelles Technologies de l'Information;EGC;2018;Analyse des sentiments à partir des commentaires Facebook publiés en Arabe standard ou dialectal marocain par une approche d'apprentissage automatique;L'analyse des sentiments est un processus pendant lequel la polarité(positive, négative ou neutre) d'un texte donné est déterminée. Nous nous intéressonsdans ce travail à l'analyse des sentiments à partir des commentairesFacebook, réels, partagés en arabe standard ou dialectal marocain par une approchebasée sur l'apprentissage automatique. Ce processus commence par lacollecte des commentaires et leur annotation à l'aide du crowdsourcing suivid'une phase de prétraitement du texte afin d'extraire des mots arabes réduits àleur racine. Ces mots vont être utilisés pour la construction des variables d'entréeen utilisant plusieurs combinaisons de schémas d'extraction et de pondération.Pour réduire la dimensionnalité, une méthode de sélection de variables est appliquée.Les résultats obtenus des expérimentations sont très prometteurs.;Abdeljalil Elouardighi, Mohcine Maghfour, Hafdalla Hammia, Fatima-Zahra Aazi;http://editions-rnti.fr/render_pdf.php?p1&p=1002397;http://editions-rnti.fr/render_pdf.php?p=1002397;7;Paris;48.8537;2.3491
1264;Revue des Nouvelles Technologies de l'Information;EGC;2018;Analyse en rôles sémantiques pour le résumé automatique;"Cet article présente une approche visant à extraire les informations expriméesdans un corpus de textes et en produire un résumé. Plusieurs variantes deméthodes extractives de résumé de texte ont été implémentées et évaluées. Leurprincipale originalité réside dans l'exploitation de structures appelées CDS (pourClause Description Structure) issues d'un composant d'annotation en rôles sémantiqueset non directement des phrases composant les textes. Le résumé obtenuest un sous-ensemble des CDS issus du corpus d'origine ; ce format permettradans la suite la détection d'incohérences textuelles. Dans ce travail, nous retransformonsles CDS résumés en texte pour permettre la comparaison de notreapproche avec celles de la littérature. Les premiers résultats sont très encourageants: les variantes que nous proposons obtiennent généralement de meilleursscores que des implémentations de méthodes de référence.";Elyase Lassouli, Yasmine Mesbahi, Camille Pradel, Damien Sileo;http://editions-rnti.fr/render_pdf.php?p1&p=1002384;http://editions-rnti.fr/render_pdf.php?p=1002384;1;Paris;48.8538;2.3492
1265;Revue des Nouvelles Technologies de l'Information;EGC;2018;Analyse Ontologique de scénario dans un contexte Big Data;;Marwan Batrouni, Aurélie Bertaux, Christophe Nicolle;http://editions-rnti.fr/render_pdf.php?p1&p=1002414;http://editions-rnti.fr/render_pdf.php?p=1002414;11;Paris;48.8539;2.3493
1266;Revue des Nouvelles Technologies de l'Information;EGC;2018;Apport de la fouille de données pour la prévention du risque suicidaire;Avec plus de 800 000 décès par an dans le monde, le suicide est latroisième cause de décès évitable. Il y a 20 fois plus de tentatives, impliquant denombreuses hospitalisations, des coûts humains et sociétaux énormes. Ces dernièresannées, les modalités de collecte de données, sociologiques et cliniques,concernant les patients reçus en consultation après une tentative, ont connu deprofonds changements liés aux outils numériques. Nous présentons les principauxrésultats d'un processus complet de fouille de données sur un échantillonde suicidants de deux hôpitaux européens. Le premier objectif est d'identifierdes groupes de patients similaires et le second d'identifier des facteurs de risqueassociés au nombre de tentatives. Des méthodes non supervisées (ACM et clustering)et supervisées (arbres de régression) sont appliquées pour y répondre.Les résultats mettent en lumière l'apport de la fouille de données à des fins descriptivesou explicatives.;Romain Billot, Sofian Berrouiguet, Mark Larsen, Michel Walter, Jorge López Castroman, Enrique Baca-García, Philippe Courtet, Philippe Lenca;http://editions-rnti.fr/render_pdf.php?p1&p=1002376;http://editions-rnti.fr/render_pdf.php?p=1002376;5;Paris;48.8540;2.3494
1267;Revue des Nouvelles Technologies de l'Information;EGC;2018;Apport des modèles locaux pour les K-moyennes prédictives;Dans le cadre du clustering prédictif, pour attribuer la classe aux groupesformés à la fin de la phase d'apprentissage, le vote majoritaire est la méthodecommunément utilisée. Cependant, cette approche comporte certaines limitationsqui influent directement sur la qualité des résultats obtenus en termes deprédiction. Pour surmonter ce problème, nous proposons d'incorporer des modèlesprédictifs localement dans les clusters formés afin d'améliorer la qualitéprédictive du modèle global. Les résultats expérimentaux montrent que cette incorporationpermet d'obtenir des résultats (en termes de prédiction) significativementmeilleurs par rapport à ceux obtenus en utilisant le vote majoritaire ainsique des résultats très compétitifs avec ceux obtenus par des algorithmes performantsd'apprentissage supervisé “similaires”. Ceci est effectué sans dégrader lepouvoir descriptif (explicatif) du modèle global.;Vincent Lemaire, Oumaima Alaoui Ismaili;http://editions-rnti.fr/render_pdf.php?p1&p=1002379;http://editions-rnti.fr/render_pdf.php?p=1002379;2;Paris;48.8541;2.3495
1268;Revue des Nouvelles Technologies de l'Information;EGC;2018;Apprendre les relations de préférence et de co-occurrence entre les labels en classification multi-labels;En classification multi-labels, chaque instance est associée àun ou plusieurs labels. Par exemple, un morceau de musique peut êtreassocié aux labels 'heureux' et 'relaxant'. Des relations de co-occurrencepeuvent exister entre les labels : par exemple, les labels 'heureux' et 'triste'ne peuvent pas être associés au même morceau de musique. Les labelspeuvent aussi avoir des relations de préférence : par exemple, pour un morceaude musique contenant plusieurs piques, le label 'heureux' est préférépar rapport au label 'relaxant'. Les relations entre les labels peuvent aiderà mieux prédire les labels associés aux instances. Les approches existantespeuvent apprendre soit les relations de co-occurrence, soit les relationsde préférence. Ce travail introduit une approche permettant de combinerl'apprentissage des deux types de relations. Les expérimentations menéesmontrent que la nouvelle approche introduite offre les meilleurs résultatsde prédiction par rapports à cinq approches de l'état de l'art.;Khalil Laghmari, Christophe Marsala, Mohammed Ramdani;http://editions-rnti.fr/render_pdf.php?p1&p=1002381;http://editions-rnti.fr/render_pdf.php?p=1002381;2;Paris;48.8542;2.3496
1269;Revue des Nouvelles Technologies de l'Information;EGC;2018;Approche contextuelle par régression pour les tests A/B;Les tests A/B sont des procédures utilisées par les entreprises du webet de la santé entre autres, pour mesurer l'impact d'un changement de versiond'une variable par rapport à un objectif. Bien qu'un nombre de plus en plusimportant de données soit disponible, la mise en place concrète d'un tel testpeut impliquer un coût important relatif à l'observation et à l'évaluation d'unevariation lorsque celle-ci n'est pas optimale.Dans ce papier, nous présentons une nouvelle approche intégrant le principed'un bandit contextuel prenant en compte ces variables via une procédure destratification.;Emmanuelle Claeys, Pierre Gançarski, Myriam Maumy-Bertrand;http://editions-rnti.fr/render_pdf.php?p1&p=1002387;http://editions-rnti.fr/render_pdf.php?p=1002387;2;Paris;48.8543;2.3497
